Column,Heading,Units/format,Description,,,,,,,,,,,,
1,Date,YYYYMMDD,Sampling date,,,,,,,,,,,,
2,Time,HH:MM,Sampling time in local time (local time is UTC-3),,,,,,,,,,,,
3,Longitude,decimal degrees,Longitude of sampling location,,,,,,,,,,,,
4,Latitude,decimal degrees,Latitude of sampling location,,,,,,,,,,,,
5,TSS,mg/L, Concentration of total suspended solids reported in milligrams per liter (mg/L) and determined in samples filtered using Whatman GF/C 47mm circles,,,,,,,,,,,,
6,ISS,mg/L,Concentration of inorganic suspended solids reported in milligrams per liter (mg/L) and determined by ignition of volatile suspended solids at 480 deg. Celsius,,,,,,,,,,,,
7,OSS,mg/L,Concentration of organic suspended solids concentration reported in milligrams per liter (mg/L) and calculated as the difference between measured total suspended solids and inorganic suspended solids.,,,,,,,,,,,,
8,Chlorophyll_a,ug/L,Chlorophyll-a concentration reported  in micograms per liter (ug/L) and determined spectrophotometrically; samples filtered using Whatman GF/F 47mm circles,,,,,,,,,,,,
9,DIC,mg/L,Dissolved inorganic carbon concentration reported in milligrams per liter (mg/L) and determined using a Shimadzu TOC 5000A carbon analyzer calibrated with potassium biphthalate,,,,,,,,,,,,
10,DOC,mg/L,Dissolved organic carbon reported in milligrams per liter (mg/L) and determined using a Shimadzu TOC 5000A carbon analyzer calibrated with potassium biphthalate,,,,,,,,,,,,
11,Transparency,m,Transparency  reported as Secchi depth in meters (m) and measured using a 20 cm diameter Secchi disk,,,,,,,,,,,,
12,Turbidity,NTU,Turbidity reported in nephelometric turbidity units (NTU) and measured using Horiba U-10,,,,,,,,,,,,
13,Temperature,degrees C,Temperature reported in degrees Celsius and measured using Horiba U-10,,,,,,,,,,,,
14,pH,,pH measured using Horiba U-10,,,,,,,,,,,,
15,Conductivity,mS/cm,Conductivity reported in millisiemens per centimeter (mS/cm) and measured using Horiba U-10,,,,,,,,,,,,
16,CO2,umol CO2/L,"Carbon dioxide concentration reported in micromoles of carbon dioxide per liter (umol CO2/L) calculated from pH, dissolved inorganic carbon, temperature, and conductivity as described in Rudorff et al. (2011)",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,In September 2003 water was collected with a cylindrical sampler which integrated the water column from surface to the Secchi depth.,,,,,,,,,,,,,,
,"In November 2003 and February 2004, samples were collected at subsurface (approximately 0.4 m below the surface).  ",,,,,,,,,,,,,,
,In June 2004 samples were taken at 0.5 m below the surface.,,,,,,,,,,,,,,
,missing data are represented by -9999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
20040607,10:04,-55.867802,-2.158,18.876,12.05,6.826,8.574,13.68,4.93,0.45,41,31.1,6.34,31,550.45
20040607,13:29,-55.852001,-2.19828,9.801,6.027,3.774,13.167,11.12,5.918,0.8,19,30.2,6.58,25,326.24
20040608,10:25,-55.788502,-2.22319,5.675,2.703,2.972,10.851,8.82,5.569,1.2,6,29.1,6.8,21,183.08
20040608,11:05,-55.812801,-2.17639,18.374,12.6,5.774,5.72,13.16,6.02,0.4,41,29.5,6.41,31,489.95
20040608,11:41,-55.786098,-2.13583,18.5529,9.93429,8.61857,43.044,13.19,5.091,0.5,32,29.9,6.86,30,244.12
20040608,12:08,-55.7589,-2.16536,12.3343,7.62286,4.71143,14.033,12.85,5.145,0.5,30,29.8,6.72,31,302.87
20040609,11:30,-55.760899,-2.06758,14.2857,10.6229,3.66286,1.594,13.2,6.595,0.4,81,28.9,6.15,32,656.02
20040609,12:25,-55.7729,-2.10836,9.2875,3.225,6.0625,37.645,12.91,5.035,0.75,21,29.8,6.82,31,256.63
20040609,12:52,-55.740101,-2.09161,13.4543,8.10714,5.34714,15.795,13.46,5.441,0.5,26,29.6,6.71,32,322.9
20040609,13:17,-55.750198,-2.12567,10.197,4.05,6.147,32.68,12.28,4.781,0.8,16,30,7.33,31,90.1
20040609,13:40,-55.7365,-2.15464,13.7557,5.67429,8.08143,33.749,13.69,11.31,0.6,22,30.3,7.2,31,131.14
20040610,9:43,-55.437401,-2.13903,19.0171,8.65714,10.36,43.285,12.74,6.397,0.4,44,29.4,8.34,33,9.87
20040610,10:12,-55.475899,-2.14472,18.8571,9.53571,9.32143,28.993,13.54,6.525,0.4,47,29.3,8.01,33,22.36
20040610,10:34,-55.515598,-2.15642,13.4937,5.91375,7.58,34.258,13.27,4.85,0.6,32,29.5,7.67,31,46.91
20040610,10:47,-55.541801,-2.16753,12.694,6.379,6.315,31.463,12.79,5.855,0.65,22,29.7,7.91,30,26.4
20040610,11:38,-55.652401,-2.17303,12.356,7.169,5.187,18.727,13.01,5.806,0.6,22,29.8,7.12,30,147.13
20040610,12:05,-55.612499,-2.17153,11.9237,6.30375,5.62,26.774,12.94,4.928,0.6,20,29.7,7.31,31,99.29
20040610,12:34,-55.567799,-2.15572,15.0688,7.2375,7.83125,37.741,12.9,6.029,0.55,33,29.9,7.88,31,28.42
20040610,13:01,-55.556801,-2.13331,14.2788,7.3775,6.90125,26.995,13.33,8.512,0.55,37,29.7,7.67,32,47.01
20040610,13:22,-55.528599,-2.11922,15.55,7.81571,7.73429,27.24,12.75,7.652,0.5,40,29.9,8.46,32,7.45
20040611,10:17,-55.398701,-2.12158,17.5863,10.8625,6.72375,31.683,13.46,4.979,0.5,37,29.2,7.68,33,46.65
20040611,10:30,-55.372501,-2.10928,13.6163,9.45375,4.1625,9.894,14.24,7.225,0.5,35,29.1,7.24,34,126.96
20040611,10:52,-55.407101,-2.09272,17.63,12.1817,5.44833,18.541,14.08,7.485,0.45,43,29.6,7.19,34,138.4
20040611,11:15,-55.438,-2.10961,17.88,8.05667,9.82333,40.284,12.98,5.597,0.45,42,29.7,8.4,32,8.73
20040611,11:59,-55.4944,-2.12461,19.3629,8.26,11.1029,60.554,12.59,5.165,0.45,39,30.1,8.74,32,3.81
20040611,12:27,-55.487301,-2.09875,17.0967,8.19667,8.9,40.512,14.73,5.635,0.45,34,30.4,8.38,36,10.29
20040612,9:39,-55.427601,-2.03678,50.272,43.598,6.674,0.787,13.12,6.477,0.25,119,28.3,6.61,31,372.26
20040612,9:58,-55.456699,-2.05211,34.61,28.186,6.424,1.155,12.4,5.638,0.25,107,28.7,6.58,31,366.98
20040612,10:10,-55.437801,-2.07233,18.5617,13.0467,5.515,10.972,13.36,7.259,0.4,51,29.7,7.13,33,148.11
20040612,10:41,-55.485298,-2.04522,14.4333,9.77167,4.66167,12.861,13.45,10.46,0.45,31,30.4,7,34,191.06
20040612,10:51,-55.4888,-2.07192,10.863,6.24,4.623,18.047,14.21,6.003,0.5,23,30.2,7.85,36,33.34
20040612,11:04,-55.5187,-2.08164,10.897,5.899,4.998,27.43,14.26,7.782,0.5,28,30.6,7.82,37,35.64
20040612,11:52,-55.522499,-2.01886,7.055,3.39357,3.66143,5.238,14.32,6.763,0.9,6,30.3,6.52,35,457.16
20040612,12:25,-55.5639,-2.00044,6.841,3.468,3.373,11.664,16.38,10.17,0.8,11,31,6.82,36,322.25
20040612,13:33,-55.572899,-2.06144,14.052,4.109,9.943,37.411,16.46,7.21,0.7,19,30.6,7.14,39,177.16
20040613,9:27,-55.616199,-2.13969,18.079,6.614,11.465,52.415,11.89,6.858,0.55,29,30.2,8.98,33,2.03
20040613,9:51,-55.5769,-2.0975,20.525,10.6725,9.8525,44.343,13.62,5.025,0.45,43,29.8,8.15,33,16.26
20040613,10:43,-55.624802,-2.09161,15.58,8.66125,6.91875,26.21,14.98,5.642,0.6,30,30.3,7.99,36,25.6
20040613,11:01,-55.6679,-2.08117,25.228,5.688,19.54,131.275,11.94,5.76,0.4,44,31.3,9.14,37,1.36
20040613,11:59,-55.698002,-2.10514,16.3431,6.31389,10.0292,48.121,13.02,5.325,0.45,31,31.3,8.92,34,2.53
20040613,12:33,-55.676399,-2.13831,16.7886,4.70429,12.0843,61.491,10.91,6.027,0.6,36,31.5,9.12,34,1.3
20040614,11:20,-55.674301,-2.04614,5.79571,1.50857,4.28714,14.402,13.78,6.184,1.1,5,31.1,6.66,33,354.58
20040614,12:10,-55.659599,-2.06142,11.663,6.74,4.923,12.585,15.83,7.248,0.65,25,31,7.33,37,114.9
20040614,12:37,-55.685501,-2.07508,25.478,4.702,20.776,119.566,13.24,8.173,0.4,49,32.1,9.19,37,1.32
20040616,10:21,-55.353699,-2.13306,12.1337,8.16,3.97375,13.674,14.3,6.921,0.65,34,29,7.38,34,95.23
20040616,10:59,-55.412899,-2.17394,18.4733,7.57167,10.9017,52.14,13.63,7.064,0.55,43,29.3,8.12,33,17.52
20040616,11:49,-55.3508,-2.16681,16.45,10.0171,6.43286,17.773,14.16,8.149,0.6,34,29.3,7.69,33,47.95
20040616,12:37,-55.301399,-2.1615,13.086,8.531,4.555,12.049,14.39,5.22,0.55,29,29.2,7.42,34,87.83
20040616,13:08,-55.262402,-2.1695,11.6067,7.46889,4.13778,12.89,14.63,6.352,0.6,24,29.6,7.28,35,119.47
20040619,9:29,-55.525799,-2.25394,11.3025,6.945,4.3575,19.406,10.17,5.7,0.7,20,29.2,6.75,23,229.55
20040619,10:25,-55.438801,-2.242,13.3837,6.37875,7.005,28.2,14.03,7.523,0.65,25,29,7.15,32,150.44
20040619,11:05,-55.403301,-2.27236,15.2963,7.00125,8.295,38.889,12.82,7.128,0.6,24,29.3,7.92,30,25.98
20040619,11:33,-55.368099,-2.28575,14.8,5.87625,8.92375,45.158,11.91,5.462,0.6,32,29.4,7.64,29,45.06
20040619,12:22,-55.310799,-2.22853,12.8263,6.71375,6.1125,31.655,13.73,5.991,0.55,27,29.3,8.23,34,13.72
20040619,12:55,-55.277,-2.19742,12.5913,5.5325,7.05875,29.176,13.85,7.503,0.6,29,29.4,8.5,34,7.41
20040619,13:25,-55.220901,-2.17781,12.4263,6.9575,5.46875,19.588,14.12,6.348,0.65,28,29.4,7.48,34,75.62
20040619,13:55,-55.155899,-2.19958,12.9225,8.09625,4.82625,11.359,15.1,4.787,0.65,27,29.4,7.55,35,69.45
20040619,14:10,-55.1558,-2.22706,11.7656,7.02,4.74556,12.947,14.73,6.393,0.6,27,29.3,6.5,35,486.68
20040619,14:30,-55.1987,-2.23428,15.7943,5.33714,10.4571,57.017,11.92,11.73,0.65,27,29.7,8.42,30,7.66
20040619,15:12,-55.0909,-2.19436,67.446,58.686,8.76,0.67,13.3,10.17,0.25,127,28.2,6.53,31,424.75
